PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
FIT210TK05A,FIT210TK05A,Area 210,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT220TK003,FIT220TK003,Area 220,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT240OP001,FIT240OP001,Area 240,,,,Unknown,Numeric,,,,,,,True,Needs Review
LIT130HP004,LIT130HP004,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT130SU001,LIT130SU001,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160BX002,LIT160BX002,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160BX009,LIT160BX009,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160HP001,LIT160HP001,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160TK002,LIT160TK002,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160TK005,LIT160TK005,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160TK006,LIT160TK006,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160TK007,LIT160TK007,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT160TK008,LIT160TK008,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT170HP001,LIT170HP001,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT170TK009,LIT170TK009,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK001,LIT210TK001,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK002,LIT210TK002,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK003,LIT210TK003,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK004,LIT210TK004,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK05A,LIT210TK05A,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT210TK06A,LIT210TK06A,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT130CY001,PIT130CY001,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT130ML001,PIT130ML001,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT160CY001,PIT160CY001,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT210TK05A,PIT210TK05A,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT210TK06A,PIT210TK06A,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT240AR001,PIT240AR001,Area 240,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT240AR002,PIT240AR002,Area 240,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT240OP01A,PIT240OP01A,Area 240,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
PIT240OP01B,PIT240OP01B,Area 240,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
TIT130ML001,TIT130ML001,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
TIT240OP001,TIT240OP001,Area 240,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
WIT130CV001,WIT130CV001,Area 130,,,,Unknown,Numeric,,,,,,,True,Needs Review
VSD140PP013,VSD140PP013,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP014,VSD140PP014,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
